Jockey,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
湯普新,跑馬地,Turf,1800,2,13,5,-1.7999999999999998,44.52,15.38,38.46,-13.85
田泰安,跑馬地,Turf,2200,2,13,3,-1.6999999999999993,6.58,15.38,23.08,-13.08
金誠剛,跑馬地,Turf,1000,2,13,3,111.0,45.56,15.38,23.08,853.85
麥文堅,跑馬地,Turf,1650,1,13,3,-7.5,16.75,7.69,23.08,-57.69
巫顯東,跑馬地,Turf,1000,0,13,0,-13.0,84.02,0.0,0.0,-100.0
楊明綸,沙田,Turf,2000,0,13,3,-13.0,26.61,0.0,23.08,-100.0
湯普新,跑馬地,Turf,1000,0,13,2,-13.0,47.89,0.0,15.38,-100.0
賀銘年,沙田,AWT,1650,0,13,1,-13.0,35.2,0.0,7.69,-100.0
霍宏聲,沙田,Turf,2000,0,13,2,-13.0,32.52,0.0,15.38,-100.0
巴度,跑馬地,Turf,2200,1,12,6,-6.6,11.98,8.33,50.0,-55.0
紀仁安,沙田,AWT,1200,1,12,4,-2.0,13.56,8.33,33.33,-16.67
艾兆禮,跑馬地,Turf,2200,1,12,4,-9.1,9.05,8.33,33.33,-75.83
麥道朗,沙田,AWT,1200,1,12,6,-7.8,7.72,8.33,50.0,-65.0
奧爾民,沙田,Turf,2000,0,12,0,-12.0,46.31,0.0,0.0,-100.0
