Trainer,Going,Wins,Starts,Places,WinRate
伍鵬志,第三班 - 1000米 - (80-60),3,38,6,7.9
伍鵬志,第三班 - 1000米 - (85-60),0,2,0,0.0
伍鵬志,第三班 - 1200米 - (80-55),0,2,1,0.0
伍鵬志,第三班 - 1200米 - (80-60),2,83,13,2.4
伍鵬志,第三班 - 1200米 - (85-60),1,5,1,20.0
伍鵬志,第三班 - 1400米 - (80-60),3,38,5,7.9
伍鵬志,第三班 - 1600米 - (80-60),1,18,2,5.6
伍鵬志,第三班 - 1600米 - (85-60),0,1,0,0.0
伍鵬志,第三班 - 1650米 - (80-55),0,3,1,0.0
伍鵬志,第三班 - 1650米 - (80-60),5,55,15,9.1
伍鵬志,第三班 - 1650米 - (85-60),0,17,3,0.0
伍鵬志,第三班 - 1800米 - (80-60),2,22,6,9.1
伍鵬志,第三班 - 1800米 - (85-60),1,9,2,11.1
伍鵬志,第三班 - 2000米 - (80-60),0,7,0,0.0
伍鵬志,第三班 - 2000米 - (85-60),0,4,0,0.0
伍鵬志,第三班 - 2200米 - (80-55),0,2,0,0.0
伍鵬志,第三班 - 2200米 - (80-60),0,2,0,0.0
伍鵬志,第三班 - 2200米 - (85-60),0,1,0,0.0
伍鵬志,第三班（條件限制） - 1600米 - (85-60),0,2,0,0.0
伍鵬志,第二班 - 1000米 - (100-75),0,3,0,0.0
伍鵬志,第二班 - 1000米 - (100-80),0,2,1,0.0
伍鵬志,第二班 - 1000米 - (105-80),0,2,0,0.0
伍鵬志,第二班 - 1000米 - (90-65),0,2,1,0.0
伍鵬志,第二班 - 1200米 - (100-80),0,10,2,0.0
伍鵬志,第二班 - 1200米 - (105-80),0,4,2,0.0
伍鵬志,第二班 - 1400米 - (100-80),1,7,2,14.3
伍鵬志,第二班 - 1400米 - (105-80),0,12,2,0.0
伍鵬志,第二班 - 1400米 - (90-70),0,1,0,0.0
伍鵬志,第二班 - 1600米 - (100-75),1,1,1,100.0
伍鵬志,第二班 - 1600米 - (100-80),1,1,1,100.0
伍鵬志,第二班 - 1600米 - (105-75),1,2,1,50.0
伍鵬志,第二班 - 1600米 - (105-80),0,1,0,0.0
伍鵬志,第二班 - 1650米 - (100-75),0,4,1,0.0
伍鵬志,第二班 - 1650米 - (100-80),0,2,0,0.0
伍鵬志,第二班 - 1650米 - (105-80),0,1,0,0.0
伍鵬志,第二班 - 1800米 - (100-70),0,1,1,0.0
伍鵬志,第二班 - 1800米 - (100-75),0,2,1,0.0
伍鵬志,第二班 - 1800米 - (100-80),0,2,0,0.0
伍鵬志,第二班 - 1800米 - (90-60),0,1,1,0.0
伍鵬志,第二班 - 2000米 - (100-75),0,2,0,0.0
伍鵬志,第二班 - 2000米 - (95-70),0,5,0,0.0
伍鵬志,第五班 - 1000米 - (40-0),2,12,4,16.7
伍鵬志,第五班 - 1200米 - (40-0),0,16,0,0.0
伍鵬志,第五班 - 1400米 - (40-0),1,28,8,3.6
伍鵬志,第五班 - 1600米 - (40-0),1,11,3,9.1
伍鵬志,第五班 - 1650米 - (40-0),1,22,4,4.5
伍鵬志,第五班 - 1800米 - (40-0),3,24,9,12.5
伍鵬志,第五班 - 2000米 - (40-0),0,3,1,0.0
伍鵬志,第五班 - 2200米 - (40-0),0,10,4,0.0
伍鵬志,第四班 - 1000米 - (60-40),1,43,7,2.3
伍鵬志,第四班 - 1200米 - (60-40),13,182,36,7.1
伍鵬志,第四班 - 1400米 - (60-40),7,88,20,8.0
伍鵬志,第四班 - 1600米 - (60-40),0,26,2,0.0
伍鵬志,第四班 - 1650米 - (60-40),4,88,18,4.5
伍鵬志,第四班 - 1800米 - (60-35),1,2,2,50.0
伍鵬志,第四班 - 1800米 - (60-40),2,39,10,5.1
伍鵬志,第四班 - 2000米 - (60-40),0,8,3,0.0
伍鵬志,第四班 - 2200米 - (60-35),0,1,0,0.0
