Trainer,Going,Wins,Starts,Places,WinRate
告東尼,第二班 - 1000米 - (100-75),0,2,1,0.0
告東尼,第二班 - 1000米 - (105-75),0,1,0,0.0
告東尼,第二班 - 1000米 - (105-80),0,2,0,0.0
告東尼,第二班 - 1200米 - (100-75),0,1,0,0.0
告東尼,第二班 - 1200米 - (100-80),0,9,0,0.0
告東尼,第二班 - 1200米 - (105-80),1,4,2,25.0
告東尼,第二班 - 1400米 - (100-75),0,2,0,0.0
告東尼,第二班 - 1400米 - (100-80),0,3,1,0.0
告東尼,第二班 - 1400米 - (105-80),2,5,2,40.0
告東尼,第二班 - 1600米 - (100-80),0,1,0,0.0
告東尼,第二班 - 1600米 - (105-75),0,1,1,0.0
告東尼,第二班 - 1600米 - (105-80),1,3,1,33.3
告東尼,第二班 - 1650米 - (100-75),0,2,0,0.0
告東尼,第二班 - 1650米 - (100-80),0,4,0,0.0
告東尼,第二班 - 1800米 - (100-70),1,2,1,50.0
告東尼,第二班 - 1800米 - (100-75),0,3,0,0.0
告東尼,第二班 - 1800米 - (100-80),0,4,1,0.0
告東尼,第二班 - 2000米 - (100-75),0,1,1,0.0
告東尼,第二班 - 2000米 - (95-70),0,1,1,0.0
告東尼,第五班 - 1000米 - (40-0),0,3,0,0.0
告東尼,第五班 - 1200米 - (40-0),2,18,6,11.1
告東尼,第五班 - 1400米 - (40-0),2,10,3,20.0
告東尼,第五班 - 1600米 - (40-0),1,5,1,20.0
告東尼,第五班 - 1650米 - (40-0),0,16,2,0.0
告東尼,第五班 - 1800米 - (40-0),0,11,2,0.0
告東尼,第五班 - 2000米 - (40-0),0,2,0,0.0
告東尼,第五班 - 2200米 - (40-0),0,3,0,0.0
告東尼,第四班 - 1000米 - (60-40),3,15,5,20.0
告東尼,第四班 - 1200米 - (60-40),5,63,14,7.9
告東尼,第四班 - 1400米 - (60-40),1,39,7,2.6
告東尼,第四班 - 1600米 - (60-40),0,13,0,0.0
告東尼,第四班 - 1650米 - (60-40),6,31,11,19.4
告東尼,第四班 - 1800米 - (60-40),1,17,5,5.9
告東尼,第四班 - 2000米 - (60-40),0,4,1,0.0
告東尼,第四班 - 2200米 - (60-40),0,4,0,0.0
堀宣行,一級賽 - 1200米,0,2,1,0.0
大衛希斯,一級賽 - 1200米,3,6,3,50.0
大衛希斯,一級賽 - 1400米,1,1,1,100.0
大衛希斯,一級賽 - 1600米,0,1,0,0.0
大衛希斯,一級賽 - 2000米,0,2,0,0.0
大衛希斯,三級賽 - 1000米,0,1,0,0.0
大衛希斯,三級賽 - 1400米,1,3,1,33.3
大衛希斯,三級賽 - 1800米,0,2,0,0.0
大衛希斯,三級賽 - 2400米,0,1,0,0.0
大衛希斯,二級賽 - 1200米,3,5,3,60.0
大衛希斯,二級賽 - 1600米,0,2,0,0.0
