Name,Type,Suburb/Area,Latitude (S),Longitude (E)
Leonora Clay Target Club,Shooting Range,Unknown,-28.8864071,121.3428461
Unknown,Shooting Range,Unknown,-28.8862641,121.3437435
Queensland Military Rifle Club (QMRC) (Google),Shooting Range,Unknown,-27.514333,153.1384214
Shooting Complex (Google),Shooting Range,Unknown,-27.5130389,153.1413086
Moonie Sports Club (Google),Shooting Range,Unknown,-27.7170199,150.3728395
Charters Towers Gun Club,Shooting Range,Unknown,-20.0421386,146.2488361
SSAA Middlemount,Shooting Range,Unknown,-22.7923472,148.7366549
Perrin Crockett Rifle Range,Shooting Range,Unknown,-22.7626966,147.6383815
Bluff Shooting Complex,Shooting Range,Unknown,-23.5838913,149.0434896
Hobart Gun Club,Shooting Range,Unknown,-42.6692312,147.2619037
Hobart Clay Target Club (Google),Shooting Range,Unknown,-42.6695423,147.2606543
Hobart Clay Target Club (Google),Shooting Range,Unknown,-42.6683515,147.2623756
Huon Combined Shooting Club,Shooting Range,Unknown,-43.1012592,146.9186266
Wallaroo Pistol & Shooting Club Inc,Shooting Range,Unknown,-33.9371471,137.6223083
Unknown,Shooting Range,Unknown,-27.4038189,117.9376294
Tamworth Pistol Club,Shooting Range,Unknown,-31.0607601,150.9545678
Shooters Union of QLD,Shooting Range,Unknown,-28.290559,152.0018156
Shooters Union of QLD,Shooting Range,Unknown,-28.290496,152.0021722
Shorting Shooters Association of Australia,Shooting Range,Unknown,-28.2925355,152.0025612
Shooting Complex (Google),Shooting Range,Unknown,-28.2910787,151.999872
Southern Downs Rifle Club,Shooting Range,Unknown,-28.2919311,152.0006471
Bencubbin Rifle Club,Shooting Range,Unknown,-30.8233582,117.8732031
Unknown,Shooting Range,Unknown,-41.026837,147.001728
Unknown,Shooting Range,Unknown,-33.7996202,120.1904952
St Marys Indoor Shooting Centre,Shooting Range,"St Marys, 2760",-33.7520121,150.775752
Albany Clay Target Club,Shooting Range,Unknown,-34.9004691,117.9157254
Chester Pass SSAA Club,Shooting Range,Unknown,-34.8982127,117.906925
Leongatha Small Bore Rifle Club,Shooting Range,Unknown,-38.4669029,145.9500152
Unknown,Shooting Range,Unknown,-37.0006659,144.8567898
Spring Ridge Rifle Range,Shooting Range,Unknown,-31.4133825,150.2636442
Unknown,Shooting Range,Unknown,-41.1150327,146.8981415
Unknown,Shooting Range,Unknown,-41.1150054,146.8974153
Oakdale Pistol Club (Google),Shooting Range,Unknown,-42.8404207,147.3872814
Griffith Gun Club- Skeet (Google),Shooting Range,Unknown,-34.2577456,146.0438305
Monto Rifle Club,Shooting Range,Unknown,-24.8581967,151.0848852
